donor_id,name,age_group,gender,email,country,newsletter_opt_in,payment_method,referral_channel,sector
55082a0b-1ced-4690-b27a-bef30498e823,Alexander Hill,30-49,Male,alexander.hill@example.com,Australia,False,Paypal,Social Media,Government
d4896afd-2f85-4d4d-8c78-f535b4949eae,Nancy Rhodes,50-65,Female,nancy.rhodes@example.com,UK,False,Bank Transfer,Website,Healthcare
19272d49-6478-4e35-8516-a2242b702dc1,Brandon Henderson,30-49,Male,brandon.henderson@example.com,France,False,Bank Transfer,Local event,Technology
d716ac75-0170-4957-b864-d493e606613b,Daniel Wagner,30-49,Male,daniel.wagner@example.com,Australia,False,Credit Card,Online advertising,Government
0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,Cristian Santos,18-29,Male,cristian.santos@example.com,UK,True,Bank Transfer,Website,Nonprofit
91961d14-1d63-4588-84ff-c9e2135f0c7f,Connie Lawrence,50-65,Female,connie.lawrence@example.com,Canada,True,Paypal,Social Media,Healthcare
adac1451-aff4-4113-8f7e-cde7ca800fcc,Aaron Shaffer,66-80,Male,aaron.shaffer@example.com,UK,True,Credit Card,Website,Pharmaceuticals
59eb8589-3753-4f78-8ccd-48c11aff0171,Gerald Moore,50-65,Male,gerald.moore@example.com,France,True,Paypal,Website,Energy
80425b99-d78c-45b2-8cdd-e5e80c146fdb,Gabrielle Davis,18-29,Female,gabrielle.davis@example.com,France,True,Paypal,Local event,Education
fc3a5dfe-b4e3-46b7-9a30-203b130bcb06,Ryan Munoz,50-65,Male,ryan.munoz@example.com,New Zealand,True,Credit Card,Social Media,Technology
90457e4e-0f2f-4894-8b32-2e957b0fcb9b,Nicholas Herrera,30-49,Male,nicholas.herrera@example.com,USA,True,Paypal,Newsletter,Pharmaceuticals
fd3de830-be83-42dc-83eb-ff10900f478c,Mrs. Kristen Calderon,18-29,Female,mrs..calderon@example.com,UK,False,Bank Transfer,Social Media,Healthcare
5255782b-9a6f-40d5-be4a-97fcfb97a262,Shannon Ray,30-49,Female,shannon.ray@example.com,USA,True,Paypal,Local event,Agriculture
d8f3b350-96ec-45de-aac8-31d3216bb8f8,Angel Perez,30-49,Male,angel.perez@example.com,USA,False,Credit Card,Word of mouth,Healthcare
9afcfa31-7966-4f83-b01b-7641e72c5c4e,Angela Hall,30-49,Female,angela.hall@example.com,France,False,Credit Card,Newsletter,Science & Research
bd47ac7d-9de4-48a7-9e88-f3feb0542461,Diana Reid,30-49,Female,diana.reid@example.com,France,False,Credit Card,Website,Others
609eb136-da8f-4af6-9409-b08b94f4025e,Jacqueline Clark,30-49,Female,jacqueline.clark@example.com,Brazil,True,Paypal,Website,Nonprofit
ceb3d8a2-33a9-4081-9ebe-9c126fb43811,Taylor Wong,18-29,Female,taylor.wong@example.com,New Zealand,True,Credit Card,Newsletter,Government
945b1239-9d5c-4b8b-b6b5-7897c8b2a988,Christopher Daniel,30-49,Male,christopher.daniel@example.com,USA,False,Paypal,Word of mouth,Pharmaceuticals
4b90e430-8ca3-4324-8a3f-f90a60fe71bc,Jamie Mayo,30-49,Female,jamie.mayo@example.com,Canada,False,Paypal,Online advertising,Environment
0be9760e-d59c-4d96-8729-0709c4972f29,Kristin Cohen,50-65,Female,kristin.cohen@example.com,Netherlands,False,Paypal,Local event,Technology
d64db6f1-8d9e-41b7-a570-bfc45ef85388,Ricardo Perez,18-29,Male,ricardo.perez@example.com,Finland,False,Bank Transfer,Website,Finance/Banking
34c756ca-d207-4849-9bf1-5eb8f1594111,Emily Adams,50-65,Female,emily.adams@example.com,Australia,False,Paypal,Website,Environment
54b368d0-0683-440e-b294-e46a4ec2aff2,Terri Walter,30-49,Female,terri.walter@example.com,Canada,False,Bank Transfer,Website,Environment
0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,Matthew Foster,50-65,Male,matthew.foster@example.com,Finland,False,Bank Transfer,Word of mouth,Finance/Banking
9b536776-aad9-446d-b027-56d00d1d809d,Jimmy Baker,30-49,Male,jimmy.baker@example.com,Germany,False,Bank Transfer,Website,Pharmaceuticals
a9a73872-8912-4132-97bb-a5cd5a682874,Kristina Baker,66-80,Female,kristina.baker@example.com,Canada,True,Paypal,Social Media,Pharmaceuticals
1a8f2b14-bdf0-45be-9be1-9fef25c16d32,Steven Ross,50-65,Male,steven.ross@example.com,China,False,Bank Transfer,Word of mouth,Hospitality
fb431c6d-6e2d-4e81-b616-dbedbf7dfac5,Yolanda Hicks,30-49,Female,yolanda.hicks@example.com,France,True,Paypal,Website,Logistics
bb635c24-ed0a-4455-9bab-3ac1c5d1d552,Amber Rodriguez,50-65,Female,amber.rodriguez@example.com,France,False,Bank Transfer,Word of mouth,Healthcare
e023d980-7417-4218-8f67-90adc6741de1,Ricky Henderson,30-49,Male,ricky.henderson@example.com,Australia,True,Credit Card,Word of mouth,Environment
3e9d5c1c-50ae-4107-ae6d-f626bed1c449,Jane Ferrell,18-29,Female,jane.ferrell@example.com,Canada,False,Bank Transfer,Online advertising,Pharmaceuticals
01961b82-6f70-436a-b4be-f7704f5f3636,Wesley Valencia,50-65,Male,wesley.valencia@example.com,Australia,True,Paypal,Social Media,Energy
a696e3a2-4fa6-43d1-9c58-64aa37ea4f73,Nathan Maldonado,50-65,Other,nathan.maldonado@example.com,Canada,True,Credit Card,Online advertising,Environment
db8ef9b1-4cc0-44ce-8ca8-6df45fbfa1e6,Debra Davidson,30-49,Other,debra.davidson@example.com,France,False,Credit Card,Website,Nonprofit
59512354-2663-4d84-8db3-478daf2b04a5,Jessica Chavez,30-49,Female,jessica.chavez@example.com,Australia,False,Bank Transfer,Social Media,Energy
18e46e17-794f-49dd-82c4-d2e98ea60672,Sherri Baker,50-65,Other,sherri.baker@example.com,UK,False,Bank Transfer,Word of mouth,Science & Research
cb51f47d-f8e5-4610-b243-d64d88112e4e,Cassandra Gaines,50-65,Female,cassandra.gaines@example.com,Canada,True,Bank Transfer,Newsletter,Science & Research
904ff131-2d81-4434-9f76-5cd43fc3d336,Edwin Fowler,30-49,Male,edwin.fowler@example.com,Finland,True,Paypal,Local event,Education
f34dc695-4f5e-4898-bd0a-1d0e62c275d0,Christian Farmer,50-65,Male,christian.farmer@example.com,USA,False,Credit Card,Online advertising,Science & Research
e024d86a-f0fb-48bc-97f5-dd9b28e970bd,Paula Moreno,66-80,Female,paula.moreno@example.com,USA,True,Bank Transfer,Social Media,Environment
27088b8d-c296-4a8e-a1c4-133a95c7f661,Erika Smith,18-29,Female,erika.smith@example.com,USA,True,Paypal,Website,Healthcare
65349738-4604-4ffc-97c9-d98d6bb7b986,Sherry Decker,30-49,Female,sherry.decker@example.com,UK,False,Bank Transfer,Local event,Technology
4787c4cb-0c60-4b40-bb88-780f84ec34f3,Amy Humphrey,50-65,Female,amy.humphrey@example.com,Canada,False,Paypal,Word of mouth,Finance/Banking
71f2d85b-4519-43b0-b79d-0116066e8bb5,Angelica Tucker,30-49,Female,angelica.tucker@example.com,Australia,False,Paypal,Word of mouth,Technology
85fba29b-36c8-4115-95ba-3cacb10b8b87,Paige Cannon,30-49,Female,paige.cannon@example.com,New Zealand,True,Paypal,Local event,Healthcare
237e816b-3c4d-4311-a85f-2b771fb958c0,John Pierce,50-65,Male,john.pierce@example.com,Australia,False,Bank Transfer,Word of mouth,Science & Research
6f108800-1463-449f-bbc4-5906ea7fd1a2,Shane Henderson,66-80,Male,shane.henderson@example.com,France,False,Credit Card,Local event,Environment
f9083353-c393-4457-9898-a5989c5a73f4,Kimberly Blair,30-49,Female,kimberly.blair@example.com,USA,True,Credit Card,Online advertising,Environment
a47b275e-a951-4783-93e9-98916e1dbc08,Emily Carney,50-65,Female,emily.carney@example.com,Finland,False,Paypal,Social Media,Finance/Banking
5e8b774c-fe09-47a5-8a48-631f93737dd0,Jeffrey Holmes,30-49,Male,jeffrey.holmes@example.com,UK,False,Bank Transfer,Online advertising,Education
09d21ff3-cd05-4f85-85ee-e78e72d93b95,Danny Morgan,30-49,Male,danny.morgan@example.com,Canada,False,Bank Transfer,Word of mouth,Government
528bad60-e1ee-4090-acfd-7d26840d8b89,David Robinson,50-65,Male,david.robinson@example.com,USA,True,Credit Card,Website,Environment
7199f09c-110f-49e0-b05f-a14577512be7,Lynn Perez,50-65,Female,lynn.perez@example.com,Australia,False,Paypal,Word of mouth,Finance/Banking
474fe919-8c9f-4e73-9329-859f384655bc,Scott Jones,18-29,Male,scott.jones@example.com,USA,True,Credit Card,Website,Government
ffa8aee4-fe52-4ac5-95fa-67b00230040e,Maureen Lewis,50-65,Female,maureen.lewis@example.com,UK,False,Paypal,Word of mouth,Technology
bacc9d6c-02f3-4fc0-a962-80b85bf51cfc,Taylor Duncan,30-49,Female,taylor.duncan@example.com,Germany,True,Bank Transfer,Word of mouth,Finance/Banking
eb60fc19-9dc3-4c64-8620-1539daa7893f,Richard Aguirre,50-65,Male,richard.aguirre@example.com,Germany,False,Credit Card,Word of mouth,Pharmaceuticals
6077ed6d-2728-42a3-a192-e5e90c0d5983,Anne Jordan,30-49,Female,anne.jordan@example.com,USA,False,Paypal,Website,Technology
c9b454df-f617-4259-9acc-8503fbc72069,Julie Daniel,18-29,Female,julie.daniel@example.com,USA,False,Bank Transfer,Social Media,Environment
7e7014cf-6d51-4209-9ba2-c19e11552eee,William Garcia,18-29,Male,william.garcia@example.com,China,False,Credit Card,Word of mouth,Science & Research
854abfdd-69d1-47b9-9d0b-0e9219defc85,Gerald Hensley,30-49,Male,gerald.hensley@example.com,France,True,Credit Card,Newsletter,Environment
492c98c4-c571-414d-97ef-c8538d1d4d2f,Cheryl West,30-49,Female,cheryl.west@example.com,USA,False,Bank Transfer,Newsletter,Arts & Culture
e24f35d0-f22e-4971-8fc5-0b41cd415ae5,Donald Wright,30-49,Male,donald.wright@example.com,USA,False,Paypal,Word of mouth,Technology
ccea48f4-17d6-4efd-965c-a80af124c8d4,Jeremy Callahan,50-65,Male,jeremy.callahan@example.com,France,False,Bank Transfer,Newsletter,Finance/Banking
dc1329df-162d-4390-91c6-5149642c263c,Anthony Kidd,30-49,Male,anthony.kidd@example.com,Canada,False,Bank Transfer,Social Media,Nonprofit
8bd5afb8-2bb2-47d2-870d-55718df06224,Wayne House,18-29,Male,wayne.house@example.com,Germany,True,Bank Transfer,Word of mouth,Healthcare
bf1f7bda-0855-4b78-837b-9e3945ad6eb4,Carol Tucker,66-80,Female,carol.tucker@example.com,Germany,True,Bank Transfer,Newsletter,Pharmaceuticals
796389f7-d755-4133-8243-ecf193b40619,Jennifer Brown,50-65,Female,jennifer.brown@example.com,Australia,False,Credit Card,Online advertising,Technology
efa2baf1-7365-43fe-a8e7-4ceb49045e72,Victoria Baker,30-49,Female,victoria.baker@example.com,USA,True,Paypal,Online advertising,Education
95dacfb1-abdd-4493-a201-45f218663d4c,Jesse Henderson,30-49,Male,jesse.henderson@example.com,USA,False,Paypal,Online advertising,Education
528e4293-d237-47ce-9bab-a1326c6b3e5d,Zachary Peters,30-49,Male,zachary.peters@example.com,South Africa,True,Paypal,Local event,Education
e4ab2f32-be65-4bf7-8e2f-95b557b28e6f,Christopher Phillips,30-49,Male,christopher.phillips@example.com,Finland,True,Paypal,Local event,Pharmaceuticals
def2db99-66ab-4edf-b456-6db4fdbe1c64,Mr. Joshua Adkins,50-65,Male,mr..adkins@example.com,Germany,False,Bank Transfer,Social Media,Science & Research
79550888-d81c-43c4-9875-bf1d2cbee0ee,Kevin Shaw,30-49,Male,kevin.shaw@example.com,USA,True,Credit Card,Word of mouth,Nonprofit
60f551f0-fc31-4b4c-8b93-b9537e5f9d04,Brooke Yu,50-65,Female,brooke.yu@example.com,USA,False,Credit Card,Website,Hospitality
5ed5573f-937a-4517-903c-3af4cded5e21,Charlene Larson,50-65,Female,charlene.larson@example.com,Australia,True,Paypal,Word of mouth,Science & Research
a57dc02c-75da-4b8f-a250-e61d547aa607,Cynthia Wilson,50-65,Female,cynthia.wilson@example.com,USA,False,Bank Transfer,Local event,Technology
04d28a36-7802-441e-a613-1cea6f702c8c,David Wheeler,30-49,Male,david.wheeler@example.com,South Africa,True,Bank Transfer,Newsletter,Healthcare
4226782c-0dc8-46b1-8dff-39f7475f8128,Jason Silva,30-49,Male,jason.silva@example.com,France,True,Bank Transfer,Newsletter,Education
1aedfcf2-e2e1-479c-bd7d-357bcc3a22f8,Taylor Harris,50-65,Female,taylor.harris@example.com,China,True,Bank Transfer,Online advertising,Agriculture
7acb366e-872e-44a6-9c93-96c541cc5052,David Foster,18-29,Male,david.foster@example.com,USA,True,Credit Card,Website,Education
459e5791-8f8b-4bf8-bf9f-d8b74e17c542,Elijah Stewart,50-65,Male,elijah.stewart@example.com,Germany,True,Paypal,Website,Retail
2828e4ac-2d04-4ee6-b9f9-9fa30116ff02,Angel Ellis,50-65,Female,angel.ellis@example.com,UK,False,Credit Card,Website,Hospitality
d9565b05-b747-4090-aea0-68f30bf7261b,Dr. Benjamin Lewis III,30-49,Male,dr..iii@example.com,USA,True,Credit Card,Website,Technology
a18b195f-2716-4e7e-bb08-510b5dc3474d,Shirley Suarez,18-29,Other,shirley.suarez@example.com,UK,False,Bank Transfer,Social Media,Pharmaceuticals
4a30b4dd-33fb-4a90-ab76-bdab071750e2,Christopher Bass,18-29,Male,christopher.bass@example.com,USA,True,Credit Card,Website,Education
37a03447-1d00-4c98-8ad8-3ab540871dae,Logan Archer,30-49,Male,logan.archer@example.com,Canada,False,Paypal,Social Media,Energy
da597ce3-2423-4fea-9add-40ff192f4a1d,Adam Montoya,18-29,Male,adam.montoya@example.com,France,True,Bank Transfer,Newsletter,Healthcare
632aa978-18d5-4e66-8ae7-13dbe61988e3,Mary Mcmillan,66-80,Female,mary.mcmillan@example.com,Finland,True,Credit Card,Social Media,Science & Research
dc8de694-2970-42eb-b35a-97286d8529e2,Brian Rodriguez,18-29,Male,brian.rodriguez@example.com,Canada,False,Bank Transfer,Website,Environment
c50bedc7-0404-48e7-aa23-791bfe44acf6,Denise Jacobs,50-65,Female,denise.jacobs@example.com,Germany,False,Credit Card,Website,Environment
d266bd64-68dd-41df-bbed-e8194ef3af58,Christina Walters,50-65,Female,christina.walters@example.com,New Zealand,False,Credit Card,Website,Consulting
54dc145f-fbe8-4248-a72a-e0e300c87a33,John Whitehead,50-65,Male,john.whitehead@example.com,New Zealand,False,Paypal,Newsletter,Media & Communication
ca10fef9-639d-4e8f-a5bf-2ca35682dfad,Anna Henderson,18-29,Female,anna.henderson@example.com,UK,True,Paypal,Online advertising,Finance/Banking
8d5e6023-9418-460a-8aa5-110db1538db8,April Wise,50-65,Female,april.wise@example.com,Netherlands,False,Credit Card,Social Media,Science & Research
d1f3e0a1-522c-499f-8af1-e13fb0fcb338,Deborah Figueroa,50-65,Female,deborah.figueroa@example.com,France,True,Bank Transfer,Website,Finance/Banking
536f23a3-8903-4808-9dc7-29a4ded5a413,Jeffrey Smith,50-65,Male,jeffrey.smith@example.com,India,True,Credit Card,Newsletter,Consulting
be0ca197-2f19-431c-bcb2-fcaa296558e6,Sonya Mckee,50-65,Female,sonya.mckee@example.com,Brazil,True,Credit Card,Website,Education
aaa68f32-affd-47da-a910-e745dea424cb,Ruben Aguilar,18-29,Male,ruben.aguilar@example.com,Germany,True,Paypal,Website,Government
98e510c0-fcb0-467f-8c3e-16b1d47fa317,Cameron Parker,30-49,Male,cameron.parker@example.com,Brazil,True,Paypal,Social Media,Pharmaceuticals
d20fb66f-2357-4381-8c72-f7f21f3cfe23,Rebecca Valencia,50-65,Female,rebecca.valencia@example.com,USA,False,Paypal,Social Media,Pharmaceuticals
e7d2c86d-a95e-4963-a150-28a2996a70d0,Christine Wright,50-65,Female,christine.wright@example.com,Germany,False,Paypal,Newsletter,Environment
f76af99a-01f3-43bb-8fce-2f8c6847c0f9,Richard Henson,50-65,Male,richard.henson@example.com,Brazil,False,Paypal,Local event,Education
9ecf52d6-760b-4531-be4c-d51faa45ad5c,Marc Moore,50-65,Other,marc.moore@example.com,France,False,Credit Card,Word of mouth,Finance/Banking
2c72cb1d-dd9c-4534-a65a-8ec41aaa658d,Sean Cherry,18-29,Male,sean.cherry@example.com,India,True,Paypal,Social Media,Pharmaceuticals
f59ca543-6dae-4746-ae90-4a97676ec166,Sierra Johnson,50-65,Female,sierra.johnson@example.com,New Zealand,False,Paypal,Local event,Nonprofit
a9074edc-ce51-41bc-8a4a-22537c7c03ce,Gary Galvan,30-49,Male,gary.galvan@example.com,Canada,False,Bank Transfer,Website,Education
d7558b33-dc58-451f-a06c-347f09ef1b92,Sharon Cochran,66-80,Female,sharon.cochran@example.com,UK,False,Paypal,Website,Education
bd598f47-2731-41c7-9601-7a08b645fee6,Richard Rodriguez,50-65,Male,richard.rodriguez@example.com,Germany,True,Bank Transfer,Website,Healthcare
81571118-fa4d-42b5-8189-1913e3f1a714,Scott Walker,30-49,Male,scott.walker@example.com,UK,False,Credit Card,Local event,Education
ce4ae05f-1074-4a15-8233-6a46bb48be63,Joe Torres,30-49,Male,joe.torres@example.com,France,False,Paypal,Word of mouth,Education
d46e349b-c9c0-4cb1-ba42-b43b64a253ae,Darren Johnson,30-49,Male,darren.johnson@example.com,Germany,True,Paypal,Website,Pharmaceuticals
3ec95d00-c3be-4adf-987d-412c1baf4efa,Garrett Lin,30-49,Male,garrett.lin@example.com,Germany,True,Bank Transfer,Online advertising,Nonprofit
359536d7-3dc2-4034-b28a-4fe7cf887624,Mrs. Margaret Ross,30-49,Female,mrs..ross@example.com,UK,False,Credit Card,Social Media,Law
95fe6f69-bdba-428e-8f79-9e8ef5f2ff75,Joshua Crosby Jr.,30-49,Male,joshua.jr.@example.com,USA,False,Paypal,Website,Education
310fea10-71ad-488c-a190-a3edca16e21a,Cassandra Estes,18-29,Other,cassandra.estes@example.com,Australia,False,Paypal,Website,Pharmaceuticals
697ead22-9db9-4c61-a0a1-6fb39be4ea57,Ashley Hamilton,30-49,Female,ashley.hamilton@example.com,Germany,False,Credit Card,Social Media,Environment
f722b7ed-2f4f-4109-8abb-99982ed2af66,Emily Obrien,30-49,Female,emily.obrien@example.com,Germany,False,Credit Card,Newsletter,Nonprofit
890b1501-d5d8-4aad-b113-1d54e56850aa,Janice Ray,50-65,Female,janice.ray@example.com,France,False,Credit Card,Social Media,Agriculture
0cea3ea5-d375-4eb8-b83f-20d87cd53cc1,Michelle Smith,50-65,Female,michelle.smith@example.com,Brazil,False,Paypal,Website,Pharmaceuticals
84756145-20b4-4170-a7fa-b88d25c881d7,Joshua Ball,30-49,Male,joshua.ball@example.com,UK,False,Bank Transfer,Website,Logistics
0b864174-e6ae-4177-8640-095bf4b3f607,Michael Diaz,50-65,Male,michael.diaz@example.com,France,True,Credit Card,Website,Government
24854900-87f9-477d-be03-12784991cacb,Mary Rivera,30-49,Female,mary.rivera@example.com,Canada,False,Credit Card,Online advertising,Healthcare
7780ad5f-7bf9-4756-96ce-a149e527bb28,Ryan Cortez,30-49,Male,ryan.cortez@example.com,UK,False,Credit Card,Social Media,Finance/Banking
270d45e7-3f7f-4351-aeff-f15e8c37a1bd,Eric Ortiz,50-65,Male,eric.ortiz@example.com,Canada,True,Paypal,Social Media,Real Estate
4b610be0-b7ab-4d5b-9b11-09d7e8677b1b,Edward Martinez,50-65,Male,edward.martinez@example.com,China,False,Paypal,Word of mouth,Retail
0c0aa8a6-bb97-4f59-b901-656d79d644d3,Teresa Byrd,30-49,Female,teresa.byrd@example.com,Netherlands,True,Credit Card,Word of mouth,Education
6ed487f5-4094-4561-bc4b-2546f4f9f723,Lisa Turner,30-49,Female,lisa.turner@example.com,UK,False,Bank Transfer,Online advertising,Education
26baaf8c-2ebf-400b-8f00-a117104f07d6,Aaron Mitchell,50-65,Male,aaron.mitchell@example.com,Canada,False,Paypal,Word of mouth,Science & Research
56266605-06fe-4ecc-ae31-ef18828654c6,Lauren Pena,18-29,Female,lauren.pena@example.com,New Zealand,True,Bank Transfer,Word of mouth,Environment
