donation_id,donor_id,donation_date,donation_type,donation_amount,payment_method_x,campaign,name,age_group,gender,email,country,newsletter_opt_in,payment_method_y,referral_channel,sector
DON000001,55082a0b-1ced-4690-b27a-bef30498e823,2024-05-10,One-time,1.0,Paypal,Marine Mammal Defense Mission,Alexander Hill,30-49,Male,alexander.hill@example.com,Australia,False,Paypal,Social Media,Government
DON000002,d4896afd-2f85-4d4d-8c78-f535b4949eae,2025-03-22,One-time,118.24,Bank Transfer,Marine Mammal Defense Mission,Nancy Rhodes,50-65,Female,nancy.rhodes@example.com,UK,False,Bank Transfer,Website,Healthcare
DON000003,19272d49-6478-4e35-8516-a2242b702dc1,2024-01-29,Recurring,33.76,Bank Transfer,Rescue Orphaned Gorillas,Brandon Henderson,30-49,Male,brandon.henderson@example.com,France,False,Bank Transfer,Local event,Technology
DON000004,19272d49-6478-4e35-8516-a2242b702dc1,2024-11-02,Recurring,13.59,Bank Transfer,Habitat for Hope,Brandon Henderson,30-49,Male,brandon.henderson@example.com,France,False,Bank Transfer,Local event,Technology
DON000005,19272d49-6478-4e35-8516-a2242b702dc1,2024-11-07,Recurring,44.63,Bank Transfer,Rescue Orphaned Gorillas,Brandon Henderson,30-49,Male,brandon.henderson@example.com,France,False,Bank Transfer,Local event,Technology
DON000006,19272d49-6478-4e35-8516-a2242b702dc1,2024-04-23,Recurring,44.38,Bank Transfer,Marine Mammal Defense Mission,Brandon Henderson,30-49,Male,brandon.henderson@example.com,France,False,Bank Transfer,Local event,Technology
DON000007,d716ac75-0170-4957-b864-d493e606613b,2025-04-17,One-time,52.3,Credit Card,Wildlife Rescue Van Drive,Daniel Wagner,30-49,Male,daniel.wagner@example.com,Australia,False,Credit Card,Online advertising,Government
DON000008,0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,2024-06-23,Recurring,73.19,Bank Transfer,Jungle Education Project,Cristian Santos,18-29,Male,cristian.santos@example.com,UK,True,Bank Transfer,Website,Nonprofit
DON000009,0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,2024-12-15,Recurring,9.19,Bank Transfer,Reforest the Sanctuary,Cristian Santos,18-29,Male,cristian.santos@example.com,UK,True,Bank Transfer,Website,Nonprofit
DON000010,0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,2024-08-26,Recurring,8.88,Bank Transfer,Jungle Education Project,Cristian Santos,18-29,Male,cristian.santos@example.com,UK,True,Bank Transfer,Website,Nonprofit
DON000011,91961d14-1d63-4588-84ff-c9e2135f0c7f,2023-09-07,One-time,60.42,Paypal,Jungle Education Project,Connie Lawrence,50-65,Female,connie.lawrence@example.com,Canada,True,Paypal,Social Media,Healthcare
DON000012,adac1451-aff4-4113-8f7e-cde7ca800fcc,2023-08-16,One-time,77.0,Credit Card,Rescue Orphaned Gorillas,Aaron Shaffer,66-80,Male,aaron.shaffer@example.com,UK,True,Credit Card,Website,Pharmaceuticals
DON000013,59eb8589-3753-4f78-8ccd-48c11aff0171,2024-01-13,One-time,142.28,Paypal,Marine Mammal Defense Mission,Gerald Moore,50-65,Male,gerald.moore@example.com,France,True,Paypal,Website,Energy
DON000014,80425b99-d78c-45b2-8cdd-e5e80c146fdb,2024-12-22,One-time,40.65,Paypal,Habitat for Hope,Gabrielle Davis,18-29,Female,gabrielle.davis@example.com,France,True,Paypal,Local event,Education
DON000015,fc3a5dfe-b4e3-46b7-9a30-203b130bcb06,2024-12-06,One-time,52.3,Credit Card,Wildlife Rescue Van Drive,Ryan Munoz,50-65,Male,ryan.munoz@example.com,New Zealand,True,Credit Card,Social Media,Technology
DON000016,90457e4e-0f2f-4894-8b32-2e957b0fcb9b,2025-03-02,One-time,55.66,Paypal,Defend the Great Apes,Nicholas Herrera,30-49,Male,nicholas.herrera@example.com,USA,True,Paypal,Newsletter,Pharmaceuticals
DON000017,fd3de830-be83-42dc-83eb-ff10900f478c,2024-12-06,One-time,30.76,Bank Transfer,Marine Mammal Defense Mission,Mrs. Kristen Calderon,18-29,Female,mrs..calderon@example.com,UK,False,Bank Transfer,Social Media,Healthcare
DON000018,5255782b-9a6f-40d5-be4a-97fcfb97a262,2024-08-31,Recurring,22.68,Paypal,Marine Mammal Defense Mission,Shannon Ray,30-49,Female,shannon.ray@example.com,USA,True,Paypal,Local event,Agriculture
DON000019,5255782b-9a6f-40d5-be4a-97fcfb97a262,2024-06-08,Recurring,69.06,Paypal,Marine Mammal Defense Mission,Shannon Ray,30-49,Female,shannon.ray@example.com,USA,True,Paypal,Local event,Agriculture
DON000020,5255782b-9a6f-40d5-be4a-97fcfb97a262,2024-06-29,Recurring,20.27,Paypal,Defend the Great Apes,Shannon Ray,30-49,Female,shannon.ray@example.com,USA,True,Paypal,Local event,Agriculture
DON000021,d8f3b350-96ec-45de-aac8-31d3216bb8f8,2024-06-20,One-time,17.06,Credit Card,Defend the Great Apes,Angel Perez,30-49,Male,angel.perez@example.com,USA,False,Credit Card,Word of mouth,Healthcare
DON000022,9afcfa31-7966-4f83-b01b-7641e72c5c4e,2023-08-30,One-time,32.37,Credit Card,Reforest the Sanctuary,Angela Hall,30-49,Female,angela.hall@example.com,France,False,Credit Card,Newsletter,Science & Research
DON000023,bd47ac7d-9de4-48a7-9e88-f3feb0542461,2024-08-27,One-time,53.52,Credit Card,Defend the Great Apes,Diana Reid,30-49,Female,diana.reid@example.com,France,False,Credit Card,Website,Others
DON000024,609eb136-da8f-4af6-9409-b08b94f4025e,2023-07-17,One-time,1.0,Paypal,Rescue Orphaned Gorillas,Jacqueline Clark,30-49,Female,jacqueline.clark@example.com,Brazil,True,Paypal,Website,Nonprofit
DON000025,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,2025-01-24,One-time,28.99,Credit Card,Rescue Orphaned Gorillas,Taylor Wong,18-29,Female,taylor.wong@example.com,New Zealand,True,Credit Card,Newsletter,Government
DON000026,945b1239-9d5c-4b8b-b6b5-7897c8b2a988,2025-04-04,One-time,25.19,Paypal,Habitat for Hope,Christopher Daniel,30-49,Male,christopher.daniel@example.com,USA,False,Paypal,Word of mouth,Pharmaceuticals
DON000027,4b90e430-8ca3-4324-8a3f-f90a60fe71bc,2024-10-11,One-time,76.25,Paypal,Wildlife Rescue Van Drive,Jamie Mayo,30-49,Female,jamie.mayo@example.com,Canada,False,Paypal,Online advertising,Environment
DON000028,0be9760e-d59c-4d96-8729-0709c4972f29,2024-03-28,One-time,37.35,Paypal,Habitat for Hope,Kristin Cohen,50-65,Female,kristin.cohen@example.com,Netherlands,False,Paypal,Local event,Technology
DON000029,d64db6f1-8d9e-41b7-a570-bfc45ef85388,2023-12-14,One-time,41.61,Bank Transfer,Wildlife Rescue Van Drive,Ricardo Perez,18-29,Male,ricardo.perez@example.com,Finland,False,Bank Transfer,Website,Finance/Banking
DON000030,34c756ca-d207-4849-9bf1-5eb8f1594111,2024-07-06,One-time,84.38,Paypal,Jungle Education Project,Emily Adams,50-65,Female,emily.adams@example.com,Australia,False,Paypal,Website,Environment
DON000031,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-04-12,Recurring,88.39,Bank Transfer,Marine Mammal Defense Mission,Terri Walter,30-49,Female,terri.walter@example.com,Canada,False,Bank Transfer,Website,Environment
DON000032,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-06-25,Recurring,72.89,Bank Transfer,Defend the Great Apes,Terri Walter,30-49,Female,terri.walter@example.com,Canada,False,Bank Transfer,Website,Environment
DON000033,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-11-18,Recurring,45.84,Bank Transfer,Habitat for Hope,Terri Walter,30-49,Female,terri.walter@example.com,Canada,False,Bank Transfer,Website,Environment
DON000034,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-12-07,Recurring,54.4,Bank Transfer,Marine Mammal Defense Mission,Terri Walter,30-49,Female,terri.walter@example.com,Canada,False,Bank Transfer,Website,Environment
DON000035,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,2023-08-23,One-time,100.95,Bank Transfer,Reforest the Sanctuary,Matthew Foster,50-65,Male,matthew.foster@example.com,Finland,False,Bank Transfer,Word of mouth,Finance/Banking
DON000036,9b536776-aad9-446d-b027-56d00d1d809d,2025-02-06,One-time,77.54,Bank Transfer,Marine Mammal Defense Mission,Jimmy Baker,30-49,Male,jimmy.baker@example.com,Germany,False,Bank Transfer,Website,Pharmaceuticals
DON000037,a9a73872-8912-4132-97bb-a5cd5a682874,2024-03-04,One-time,97.98,Paypal,Habitat for Hope,Kristina Baker,66-80,Female,kristina.baker@example.com,Canada,True,Paypal,Social Media,Pharmaceuticals
DON000038,1a8f2b14-bdf0-45be-9be1-9fef25c16d32,2024-04-22,One-time,73.11,Bank Transfer,Wildlife Rescue Van Drive,Steven Ross,50-65,Male,steven.ross@example.com,China,False,Bank Transfer,Word of mouth,Hospitality
